country,total_population_2022,pct_under_20, pct_over_60,deaths_due_to_ncd,income_group,gdp_per_capita,    inactivity_adolescent_male,  inactivity_adolescent_female,    inactivity_adult_male,    inactivity_adult_female, inactivity_70_male,   inactivity_70_female
Comoros,837000,0.48,0.07,0.45,LOWER MIDDLE,3148,N/A,N/A,0.1,0.19,0.11,0.24
Congo,5971000,0.51,0.05,0.39,LOWER MIDDLE,3689,N/A,N/A,0.25,0.31,0.37,0.46
Cook Islands,17100,0.31,0.17,N/A,UPPER MIDDLE,N/A,0.78,0.88,0.1,0.27,0.17,0.42
Costa Rica,5181000,0.27,0.16,0.82,UPPER MIDDLE,22244,0.76,0.88,0.38,0.54,0.53,0.7
Cote D'Ivoire,28161000,0.53,0.04,0.36,LOWER MIDDLE,5465,N/A,N/A,0.29,0.37,0.34,0.44
Croatia,4031000,0.19,0.3,0.92,HIGH,28780,0.7,0.84,0.26,0.36,0.4,0.52
Cuba,11213000,0.21,0.22,0.83,UPPER MIDDLE,N/A,N/A,N/A,0.31,0.43,0.46,0.59
Cyprus,1252000,0.21,0.2,0.9,HIGH,39593,N/A,N/A,0.38,0.51,0.54,0.66
Czechia,10494000,0.21,0.26,0.89,HIGH,41608,0.73,0.82,0.28,0.34,0.42,0.5
Democratic People's Rebulic of Korea,26070000,0.25,0.17,0.8,LOW,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Democratic Republic of the Congo,99011000,0.57,0.05,0.34,LOW,1142,N/A,N/A,0.21,0.27,0.33,0.4
Denmark,5883000,0.22,0.26,0.9,HIGH,60230,0.82,0.87,0.26,0.31,0.39,0.46
Djibouti,1121000,0.41,0.07,0.52,LOWER MIDDLE,5533,0.81,0.89,N/A,N/A,N/A,N/A
Dominica,72800,0.27,0.14,N/A,UPPER MIDDLE,10818,0.82,0.86,0.13,0.3,0.23,0.46
Dominican Republic,11229000,0.36,0.11,0.72,UPPER MIDDLE,17934,N/A,N/A,0.34,0.43,0.5,0.6
Ecuador,18001000,0.34,0.11,0.76,UPPER MIDDLE,10890,0.83,0.9,0.25,0.3,0.31,0.38
Egypt,110991000,0.42,0.08,0.86,LOWER MIDDLE,12606,0.82,0.93,0.23,0.39,0.35,0.55
El Salvador,6337000,0.34,0.12,0.65,LOWER MIDDLE,8420,0.83,0.9,N/A,N/A,N/A,N/A
Equatorial Guinea,1675000,0.47,0.05,0.33,UPPER MIDDLE,18158,N/A,N/A,N/A,N/A,N/A,N/A
Eritrea,3685000,0.51,0.06,0.49,LOW,N/A,N/A,N/A,0.14,0.31,0.14,0.35
Estonia,1327000,0.22,0.27,0.92,HIGH,37645,0.81,0.88,0.29,0.35,0.43,0.5
Eswatini,1202000,0.45,0.06,0.46,LOWER MIDDLE,8865,N/A,N/A,0.24,0.32,0.27,0.38
Ethiopia,123380000,0.51,0.05,0.43,LOW,2423,N/A,N/A,0.11,0.18,0.12,0.2
Fiji,930000,0.37,0.1,0.85,UPPER MIDDLE,12158,0.81,0.86,0.11,0.24,0.18,0.38
Finland,5541000,0.21,0.3,0.93,HIGH,50937,0.69,0.82,0.17,0.16,0.28,0.27
France,64627000,0.23,0.28,0.87,HIGH,46991,0.82,0.92,0.24,0.34,0.38,0.5
Gabon,2389000,0.46,0.06,0.45,UPPER MIDDLE,15105,N/A,N/A,0.18,0.33,0.28,0.49
Gambia,2706000,0.54,0.04,0.37,LOW,2277,N/A,N/A,0.16,0.26,0.25,0.4
Georgia,3745000,0.27,0.21,0.93,UPPER MIDDLE,14731,N/A,N/A,0.17,0.19,0.28,0.3
Germany,83370000,0.19,0.3,0.91,HIGH,54845,0.8,0.88,0.4,0.44,0.56,0.61
Ghana,33476000,0.47,0.06,0.45,LOWER MIDDLE,5750,0.87,0.88,0.19,0.25,0.22,0.3
Greece,10385000,0.19,0.29,0.83,HIGH,27949,0.8,0.89,0.34,0.41,0.49,0.57
Grenada,126000,0.31,0.15,0.83,UPPER MIDDLE,15274,0.82,0.87,0.22,0.35,0.34,0.51
Guatemala,17844000,0.43,0.07,0.62,UPPER MIDDLE,8853,0.85,0.89,0.37,0.37,0.52,0.53
Guinea,13860000,0.52,0.05,0.33,LOW,2754,N/A,N/A,0.11,0.18,0.17,0.3
Guinea-Bissau,2106000,0.51,0.04,0.33,LOW,1949,N/A,N/A,N/A,N/A,N/A,N/A
Guyana,809000,0.38,0.1,0.7,UPPER MIDDLE,19703,0.82,0.86,N/A,N/A,N/A,N/A
Haiti,11585000,0.42,0.07,0.65,LOW,3095,N/A,N/A,N/A,N/A,N/A,N/A
Honduras,10433000,0.4,0.07,0.71,LOWER MIDDLE,5420,0.8,0.88,N/A,N/A,N/A,N/A
Hungary,9968000,0.2,0.26,0.94,HIGH,33274,0.74,0.86,0.33,0.43,0.48,0.59
Iceland,373000,0.25,0.21,0.89,HIGH,53617,0.75,0.85,N/A,N/A,N/A,N/A
India,1417174000,0.34,0.1,0.66,LOWER MIDDLE,6525,0.72,0.76,0.25,0.44,0.38,0.6
Indonesia,275502000,0.33,0.11,0.76,LOWER MIDDLE,12072,0.85,0.87,0.24,0.22,0.36,0.34
Iran (Islamic Republic of),88551000,0.3,0.12,0.81,UPPER MIDDLE,15791,N/A,N/A,0.23,0.43,0.35,0.6
Iraq,44497000,0.48,0.05,0.67,UPPER MIDDLE,9954,0.8,0.91,0.4,0.65,0.55,0.78
Ireland,5024000,0.26,0.2,0.9,HIGH,93350,0.64,0.81,0.28,0.37,0.43,0.53
Israel,9039000,0.36,0.16,0.85,HIGH,39489,0.8,0.9,N/A,N/A,N/A,N/A
Italy,59038000,0.17,0.31,0.91,HIGH,41988,0.86,0.92,0.36,0.46,0.52,0.62
Jamaica,2828000,0.28,0.12,0.79,UPPER MIDDLE,9241,N/A,N/A,0.28,0.37,0.43,0.53
Japan,123952000,0.16,0.36,0.85,HIGH,42100,N/A,N/A,0.34,0.37,0.49,0.53
Jordan,11286000,0.42,0.06,0.8,UPPER MIDDLE,10354,0.81,0.88,0.1,0.14,0.18,0.23
Kazakhstan,19398000,0.37,0.13,0.87,UPPER MIDDLE,26750,N/A,N/A,0.26,0.29,0.39,0.43
Kenya,54028000,0.49,0.05,0.41,LOWER MIDDLE,4587,0.85,0.89,0.14,0.17,0.15,0.19
Kiribati,132000,0.45,0.06,0.73,LOWER MIDDLE,2172,0.79,0.86,0.35,0.46,0.49,0.62
Kuwait,4269000,0.26,0.09,0.79,HIGH,47303,0.79,0.9,0.61,0.75,0.76,0.85
Kyrgyzstan,6631000,0.43,0.08,0.82,LOWER MIDDLE,4985,N/A,N/A,0.11,0.17,0.18,0.27
Lao People's Democratic Republic,7530000,0.4,0.07,0.65,LOWER MIDDLE,8238,0.78,0.91,0.12,0.21,0.12,0.23
Latvia,1851000,0.21,0.29,0.92,HIGH,31425,0.76,0.84,0.25,0.33,0.39,0.48
Lebanon,5490000,0.36,0.14,0.89,UPPER MIDDLE,11377,0.76,0.88,0.4,0.33,0.55,0.49
Lesotho,2306000,0.44,0.07,0.45,LOWER MIDDLE,2569,N/A,N/A,0.07,0.06,0.11,0.11
Liberia,5303000,0.52,0.05,0.32,LOW,1468,N/A,N/A,0.22,0.29,0.34,0.43
Libya,6813000,0.38,0.08,0.75,UPPER MIDDLE,17286,0.78,0.89,0.31,0.42,0.46,0.57
Lithuania,2751000,0.2,0.28,0.91,HIGH,38881,0.76,0.85,0.23,0.29,0.36,0.44
Luxembourg,648000,0.21,0.21,0.89,HIGH,117846,0.73,0.85,0.26,0.3,0.4,0.48
Madagascar,29612000,0.5,0.05,0.45,LOW,1544,N/A,N/A,0.13,0.21,0.21,0.34
Malawi,20406000,0.55,0.04,0.4,LOW,1591,N/A,N/A,0.13,0.18,0.14,0.21
Malaysia,33939000,0.31,0.11,0.73,UPPER MIDDLE,27921,0.81,0.91,0.35,0.43,0.5,0.59
Maldives,524000,0.28,0.08,0.85,UPPER MIDDLE,13442,0.78,0.86,0.26,0.35,0.39,0.51
Mali,22594000,0.58,0.04,0.3,LOW,2348,N/A,N/A,0.34,0.47,0.4,0.55
Malta,534000,0.17,0.25,0.9,HIGH,43243,0.77,0.86,0.36,0.47,0.52,0.63
Marshall Islands,41600,0.41,0.08,N/A,UPPER MIDDLE,4147,N/A,N/A,0.37,0.5,0.53,0.66
Mauritania,4737000,0.53,0.05,0.37,LOWER MIDDLE,5390,0.83,0.91,0.37,0.46,0.43,0.53
Maruitius,1300000,0.23,0.19,0.88,UPPER MIDDLE,20529,0.76,0.88,0.28,0.32,0.41,0.47
Mexico,127505000,0.33,0.12,0.8,UPPER MIDDLE,18671,0.79,0.88,0.26,0.32,0.39,0.48
Micronesia (Federated States of),115000,0.41,0.1,0.79,LOWER MIDDLE,3553,N/A,N/A,0.33,0.41,0.49,0.56
Monaco,36500,0.17,0.44,N/A,HIGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mongolia,3399000,0.39,0.08,0.83,LOWER MIDDLE,12366,0.74,0.83,0.18,0.19,0.28,0.31
Montenegro,628000,0.24,0.23,0.94,UPPER MIDDLE,19990,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,37458000,0.35,0.12,0.84,LOWER MIDDLE,7369,0.85,0.9,0.21,0.31,0.32,0.46
Mozambique,32970000,0.54,0.04,0.36,LOW,1297,0.83,0.91,0.05,0.06,0.09,0.11
Myanmar,54180000,0.33,0.11,0.71,LOWER MIDDLE,5123,0.84,0.9,0.08,0.13,0.14,0.22
Namibia,2568000,0.46,0.06,0.43,UPPER MIDDLE,9359,0.87,0.88,0.29,0.37,0.43,0.53
Nauru,12700,0.48,0.05,N/A,UPPER MIDDLE,14337,0.84,0.9,0.35,0.49,0.51,0.65
Nepal,30548000,0.39,0.09,0.66,LOW,3997,0.82,0.85,0.12,0.15,0.13,0.15
Netherlands,17565000,0.21,0.27,0.88,HIGH,59267,0.77,0.84,0.25,0.29,0.39,0.44
New Zealand,5186000,0.25,0.22,0.9,HIGH,44658,0.85,0.93,0.39,0.45,0.55,0.62
Nicaragua,6949000,0.39,0.08,0.82,LOWER MIDDLE,5574,N/A,N/A,N/A,N/A,N/A,N/A
Niger,26208000,0.6,0.04,0.3,LOW,1288,N/A,N/A,0.2,0.25,0.31,0.39
Nigeria,218542000,0.54,0.05,0.27,LOWER MIDDLE,5186,N/A,N/A,0.25,0.3,0.37,0.43
Niue,2000,0.34,0.21,N/A,UPPER MIDDLE,N/A,0.86,0.89,0.08,0.06,0.14,0.11
North Macedonia,2094000,0.22,0.21,0.96,UPPER MIDDLE,16720,0.74,0.84,N/A,N/A,N/A,N/A
Norway,5435000,0.23,0.24,0.87,HIGH,62645,0.79,0.89,0.3,0.34,0.44,0.5
Oman,4577000,0.33,0.04,0.8,HIGH,31118,0.78,0.9,0.3,0.4,0.44,0.56
Pakistan,235825000,0.47,0.07,0.6,LOWER MIDDLE,5426,0.85,0.89,0.24,0.43,0.3,0.5
Palau,18100,0.28,0.16,N/A,HIGH,16319,0.76,0.82,0.28,0.54,0.44,0.69
Panama,4409000,0.34,0.13,0.78,HIGH,26780,N/A,N/A,N/A,N/A,N/A,N/A
Papua New Guinea,10143000,0.44,0.06,0.62,LOWER MIDDLE,4286,N/A,N/A,0.11,0.18,0.19,0.29
Paraguay,6781000,0.38,0.09,0.75,UPPER MIDDLE,13035,0.79,0.88,0.38,0.37,0.45,0.45
Peru,34050000,0.35,0.12,0.73,UPPER MIDDLE,11908,0.83,0.87,N/A,N/A,N/A,N/A
Philippines,115560000,0.4,0.09,0.7,LOWER MIDDLE,8394,0.93,0.94,0.3,0.49,0.44,0.65
Poland,39858000,0.2,0.25,0.9,HIGH,34287,0.74,0.84,0.32,0.33,0.46,0.49
Portugal,10271000,0.18,0.3,0.87,HIGH,34177,0.78,0.91,0.38,0.49,0.53,0.65
Qatar,2696000,0.19,0.03,0.77,HIGH,89961,0.86,0.91,0.33,0.49,0.48,0.64
Republic of Korea,51816000,0.16,0.26,0.78,HIGH,45226,0.91,0.97,0.3,0.41,0.44,0.57
Republic of Moldova,3273000,0.25,0.19,0.89,LOWER MIDDLE,12942,0.73,0.78,0.12,0.11,0.2,0.19
Romania,19660000,0.21,0.24,0.91,UPPER MIDDLE,32202,0.73,0.87,0.32,0.38,0.47,0.54
